uraian;satuan;2022;2023;2024;sumber_data;keterangan
 Payakumbuh ;Ha;20;19.5;20;DISTANHORBUN;
 Akabiluru ;Ha;131;113;110;DISTANHORBUN;
 Luak ;Ha;34;34;34;DISTANHORBUN;
 Lareh Sago Halaban ;Ha;7;7;8;DISTANHORBUN;
 Situjuah Limo Nagari ;Ha;39;39;41;DISTANHORBUN;
 Harau ;Ha;6;6;6;DISTANHORBUN;
 Guguak ;Ha;47;46;44;DISTANHORBUN;
 Mungka ;Ha;15;13;13;DISTANHORBUN;
 Suliki ;Ha;130;89;75;DISTANHORBUN;
 Bukik Barisan ;Ha;1779;183;186;DISTANHORBUN;
 Gunuang Omeh ;Ha;31;28;32;DISTANHORBUN;
 Kapur IX ;Ha;0;0;0;DISTANHORBUN;
 Pangkalan Koto Baru ;Ha;6;6;6;DISTANHORBUN;
